basis,theta_ls,theta_en
a2me__pos,135.95617113041527,8.714052740166698
a2me__neg,303.4467428279751,0.29519568130167906
ac__pos,92.02074689448307,2.875448266698553
ac__neg,36.68857053751526,9.563166067114938
at__pos,-199.74703672720915,-20.34541314872165
at__neg,27.12506945247045,-31.924827425810644
ato__pos,-419.82768877655343,-16.404362311662517
ato__neg,39.51977661429605,-11.45892567053593
beme__pos,-320.26519796941795,0.8480664691627582
beme__neg,-102.4872005099728,13.989582667670106
beta__pos,-188.25512838533677,-3.0539658790251627
beta__neg,113.51251663326434,-21.134431105379637
c__pos,215.38016181825498,10.745877985691454
c__neg,-124.66554326184374,34.81469362145793
cf__pos,-16.41605070243393,29.501639451600028
cf__neg,63.23804921339184,18.003028305064923
cf2p__pos,82.3356121683138,23.284300855538604
cf2p__neg,131.14053417852787,26.099124082198696
cto__pos,-95.20945387321153,3.6386278883285987
cto__neg,133.6228913832435,-17.79139853593068
d2a__pos,226.89675499924107,4.368803945009767
d2a__neg,-42.95247028356092,22.634794420377798
d2p__pos,63.14618819876535,33.24094364021363
d2p__neg,94.03943566040185,25.350458199979194
dpi2a__pos,172.46295681717928,-7.932691475770989
dpi2a__neg,-398.4153364699083,-30.561591090841155
e2p__pos,290.86494886569466,0.19899922356448094
e2p__neg,-185.50246123508327,19.205380506846012
fc2y__pos,37.41276957109476,10.366299420232224
fc2y__neg,1018.7403138875737,-0.4077063696775156
idiovol__pos,490.57959699092703,-11.823451509687196
idiovol__neg,-121.15082769522618,-8.332450085787366
investment__pos,68.21427634596252,-10.572454906044829
investment__neg,372.6025511426206,-23.749712972259818
lev__pos,-74.02050347580517,-9.77047310170513
lev__neg,281.85919926338573,-8.584204331606172
lme__pos,181.33816271155754,-39.82967978331847
lme__neg,-154.97497801795288,-33.89810132206442
lt_rev__pos,22.51703523743146,-10.159489207601267
lt_rev__neg,44.75770280718817,15.456097134526347
lturnover__pos,-168.76625479686578,13.368205443697796
lturnover__neg,86.27924897132823,23.02024885381662
mktbeta__pos,113.66404502647751,10.657784059978574
mktbeta__neg,-49.24524629384324,1.5343860271071939
ni__pos,-14.312074902103491,-11.898103421795538
ni__neg,-90.0833785081868,-30.788003324821844
noa__pos,-366.48574015665326,-35.264342686579866
noa__neg,-63.65000865248265,-36.83628445674269
oa__pos,-140.62265855952307,-12.341703516717317
oa__neg,163.4817547877817,10.14406291059737
ol__pos,411.4089828007186,4.349279290656879
ol__neg,-298.6685288119442,-12.38258771993714
op__pos,-101.52914849097128,0.23943571809776823
op__neg,-203.09528722324342,15.949443662727662
pcm__pos,-34.61236995425156,25.38221014071955
pcm__neg,-161.35472288074362,22.798605127254056
pm__pos,-202.3187083248699,24.62463622106542
pm__neg,509.03992428957037,20.252885062524058
prof__pos,-2.753476329690085,6.175081207450732
prof__neg,164.40813060031985,2.3057397335697343
q__pos,214.12406310682485,0.7689641935955623
q__neg,-129.60812885939967,-11.406167642996355
r2_1__pos,6.642667968692696,-14.147049600278626
r2_1__neg,-54.32254918098239,-3.056678828158367
r12_2__pos,34.58932354872105,29.701168528739135
r12_2__neg,-189.28038485580615,45.18353186568715
r12_7__pos,192.58616691710571,28.380121439105313
r12_7__neg,-32.7149844667669,13.14603900358648
r36_13__pos,176.38851077255208,23.97021940421986
r36_13__neg,-253.43124625983435,23.732136779709723
rel2high__pos,106.02797992730186,13.825697850147373
rel2high__neg,99.35311807973882,-8.989994316764207
resid_var__pos,-1098.1908054001374,-23.270421431108076
resid_var__neg,913.6366514203515,-17.895889358708622
rna__pos,-74.73028427041987,7.167981639795467
rna__neg,190.6242150883347,5.799451044755514
roa__pos,322.67323791347746,6.687606141112892
roa__neg,-558.7127081645782,4.749408204879993
roe__pos,-155.81917784697617,8.618345352431326
roe__neg,219.79752876337378,10.205711679953048
s2p__pos,-71.91736982356213,9.255160940540879
s2p__neg,-106.56697744137469,0.0
sga2s__pos,-49.55945957909832,2.789498197078058
sga2s__neg,-913.5933603664647,1.0587727239385138
spread__pos,-39.52384815799683,-9.336266238353295
spread__neg,167.2647503556085,-1.9032471184607627
st_rev__pos,-166.17096311628794,-93.61329006961023
st_rev__neg,-101.98619318348888,-154.92443798920897
suv__pos,192.36436799988746,-46.88744983851327
suv__neg,-67.74961956360691,72.36878511665347
variance__pos,349.4588125990112,10.690424930506643
variance__neg,-526.7813867961557,-18.915277235502256
