,correlation_with_return,absolute_correlation
st_rev,-0.03246689282158012,0.03246689282158012
suv,0.02561187333967242,0.02561187333967242
lme,-0.023380162489867427,0.023380162489867427
lt_rev,-0.0229186381053474,0.0229186381053474
s2p,0.022392177479854742,0.022392177479854742
investment,-0.021121610831754158,0.021121610831754158
q,-0.02110714487923555,0.02110714487923555
a2me,0.019349709854064538,0.019349709854064538
dpi2a,-0.01931319009418327,0.01931319009418327
r36_13,-0.01834371363142393,0.01834371363142393
beme,0.017165891614050917,0.017165891614050917
noa,-0.014122534962987005,0.014122534962987005
ol,0.01378273238926847,0.01378273238926847
ni,-0.013191112095008263,0.013191112095008263
at,-0.012697601193201655,0.012697601193201655
spread,0.012370455889966636,0.012370455889966636
r12_7,0.011074624400115552,0.011074624400115552
rna,-0.010982966550809584,0.010982966550809584
d2a,0.010807517952923743,0.010807517952923743
r12_2,0.010449221718758814,0.010449221718758814
pm,-0.010209343138151644,0.010209343138151644
roa,-0.010185307121830245,0.010185307121830245
cf2p,0.00969763579220794,0.00969763579220794
prof,0.0094672175850879,0.0094672175850879
roe,-0.009447054693542895,0.009447054693542895
rel2high,-0.009271939327882225,0.009271939327882225
resid_var,0.008338542972566587,0.008338542972566587
variance,0.008154644789636485,0.008154644789636485
idiovol,0.007962243208126635,0.007962243208126635
r2_1,-0.006856678732340958,0.006856678732340958
oa,-0.004920735967136943,0.004920735967136943
sga2s,0.004241181951536268,0.004241181951536268
fc2y,0.004184137515284093,0.004184137515284093
cto,0.00414698142905018,0.00414698142905018
op,-0.0038476986661686325,0.0038476986661686325
beta,-0.003441129585085557,0.003441129585085557
e2p,0.0031107125637974456,0.0031107125637974456
pcm,-0.002929589930363894,0.002929589930363894
mktbeta,-0.0027911188066256556,0.0027911188066256556
d2p,-0.002055027512855459,0.002055027512855459
lev,0.0014393154134295268,0.0014393154134295268
c,-0.0009305396402361502,0.0009305396402361502
lturnover,0.0008088862814275742,0.0008088862814275742
ato,0.0007201012542232049,0.0007201012542232049
ac,-0.00047863938993585964,0.00047863938993585964
cf,0.0003867925662692887,0.0003867925662692887
