,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
a2me,1218555.0,1.895083842108338e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
ac,1218555.0,-1.3119811214596185e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
at,1218555.0,-1.5743773457515422e-19,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
ato,1218555.0,-1.4942007216623434e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
beme,1218555.0,-1.0933176012163488e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
beta,1218555.0,1.4577568016217982e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
c,1218555.0,5.685251526325013e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
cf,1218555.0,9.038092170055149e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
cf2p,1218555.0,-3.352840643730136e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
cto,1218555.0,-6.705681287460272e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
d2a,1218555.0,3.6443920040544955e-21,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
d2p,1218555.0,-8.74654080973079e-21,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
dpi2a,1218555.0,8.74654080973079e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
e2p,1218555.0,8.74654080973079e-21,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
fc2y,1218555.0,-1.4577568016217984e-21,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
idiovol,1218555.0,7.580335368433352e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
investment,1218555.0,-5.685251526325013e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
lev,1218555.0,3.352840643730136e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
lme,1218555.0,-6.997232647784632e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
lt_rev,1218555.0,1.0204297611352588e-19,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
lturnover,1218555.0,-2.623962242919237e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
mktbeta,1218555.0,-1.1662054412974385e-19,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
ni,1218555.0,1.0641624651839128e-19,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
noa,1218555.0,1.865928706075902e-19,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
oa,1218555.0,-9.912746251028229e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
ol,1218555.0,-1.6035324817839783e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
op,1218555.0,2.3324108825948774e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
pcm,1218555.0,3.498616323892316e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
pm,1218555.0,1.1224727372487847e-19,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
prof,1218555.0,-5.831027206487193e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
q,1218555.0,2.0408595222705178e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
r2_1,1218555.0,-1.0641624651839128e-19,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
r12_2,1218555.0,-5.831027206487193e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
r12_7,1218555.0,7.434559688271171e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
r36_13,1218555.0,5.247924485838474e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
rel2high,1218555.0,6.705681287460272e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
resid_var,1218555.0,1.8076184340110299e-19,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
rna,1218555.0,6.268354246973732e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
roa,1218555.0,-5.247924485838474e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
roe,1218555.0,7.143008327946812e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
s2p,1218555.0,1.4577568016217982e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
sga2s,1218555.0,-7.580335368433352e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
spread,1218555.0,-3.498616323892316e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
st_rev,1218555.0,-4.9563731255141144e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
suv,1218555.0,6.559905607298093e-20,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
variance,1218555.0,-2.9738238753084684e-19,0.2888174382095317,-0.5,-0.4902426783933267,-0.45021872422589776,-0.25011410400494116,0.0,0.25011410400494116,0.45021872422589787,0.49024267839332664,0.5
