,missing_fraction
rpi,0.0
cto,0.0
ddurrg3m086sbea,0.0
dndgrg3m086sbea,0.0
dserrg3m086sbea,0.0
ces0600000008,0.0
ces2000000008,0.0
ces3000000008,0.0
mzmsl,0.0
dtcolnvhfnm,0.0
dtcthfnm,0.0
invest,0.0
vxoclsx,0.0
a2me,0.0
ac,0.0
at,0.0
ato,0.0
beme,0.0
beta,0.0
c,0.0
cf,0.0
pcepi,0.0
cusr0000sa0l5,0.0
cusr0000sa0l2,0.0
wpsid62,0.0
baaffm,0.0
exszusx,0.0
exjpusx,0.0
exusukx,0.0
excausx,0.0
wpsfd49207,0.0
wpsfd49502,0.0
wpsid61,0.0
oilpricex,0.0
cpiulfsl,0.0
ppicmm,0.0
cpiaucsl,0.0
cpiappsl,0.0
cpitrnsl,0.0
cpimedsl,0.0
cusr0000sac,0.0
cusr0000sad,0.0
cusr0000sas,0.0
cf2p,0.0
d2a,0.0
w875rx1,0.0
d2p,0.0
r36_13,0.0
rel2high,0.0
resid_var,0.0
rna,0.0
roa,0.0
roe,0.0
s2p,0.0
sga2s,0.0
spread,0.0
st_rev,0.0
suv,0.0
variance,0.0
dp,0.0
ep,0.0
b/m,0.0
ntis,0.0
tbl,0.0
tms,0.0
dfy,0.0
r12_7,0.0
r12_2,0.0
r2_1,0.0
lturnover,0.0
dpi2a,0.0
e2p,0.0
fc2y,0.0
idiovol,0.0
investment,0.0
lev,0.0
lme,0.0
lt_rev,0.0
mktbeta,0.0
q,0.0
ni,0.0
noa,0.0
oa,0.0
ol,0.0
op,0.0
pcm,0.0
pm,0.0
prof,0.0
aaaffm,0.0
t10yffm,0.0
t5yffm,0.0
t1yffm,0.0
uempmean,0.0
uemplt5,0.0
uemp5to14,0.0
uemp15ov,0.0
uemp15t26,0.0
uemp27ov,0.0
claimsx,0.0
payems,0.0
usgood,0.0
ces1021000001,0.0
uscons,0.0
manemp,0.0
dmanemp,0.0
ndmanemp,0.0
srvprd,0.0
ustpu,0.0
uswtrade,0.0
ustrade,0.0
usfire,0.0
unrate,0.0
ce16ov,0.0
clf16ov,0.0
ipncongd,0.0
dpcera3m086sbea,0.0
cmrmtsplx,0.0
retailx,0.0
indpro,0.0
ipfpnss,0.0
ipfinal,0.0
ipcongd,0.0
ipdcongd,0.0
ipbuseq,0.0
hwiuratio,0.0
ipmat,0.0
ipdmat,0.0
ipnmat,0.0
ipmansics,0.0
ipb51222s,0.0
ipfuels,0.0
cumfns,0.0
hwi,0.0
usgovt,0.0
ces0600000007,0.0
awotman,0.0
tb3ms,0.0
nonrevsl,0.0
conspi,0.0
s&p_500,0.0
s&p:_indust,0.0
s&p_div_yield,0.0
s&p_pe_ratio,0.0
fedfunds,0.0
cp3mx,0.0
tb6ms,0.0
busloans,0.0
gs1,0.0
gs5,0.0
gs10,0.0
aaa,0.0
baa,0.0
compapffx,0.0
tb3smffm,0.0
tb6smffm,0.0
realln,0.0
nonborres,0.0
awhman,0.0
permits,0.0
houst,0.0
houstne,0.0
houstmw,0.0
housts,0.0
houstw,0.0
permit,0.0
permitne,0.0
permitmw,0.0
permitw,0.0
totresns,0.0
amdmnox,0.0
amdmuox,0.0
businvx,0.0
isratiox,0.0
m1sl,0.0
m2sl,0.0
m2real,0.0
ambsl,0.0
svar,0.0
