,count,mean,std,min,25%,50%,75%,max
rpi,600.0,0.00247681593440728,0.005814642489515854,-0.0504798071386964,0.000581254607273825,0.0026463384959045,0.004688392973985575,0.0404531096689968
w875rx1,600.0,0.0022804173305211554,0.006014250897612697,-0.0602782345857697,3.664083748056157e-05,0.00272268295779815,0.0047104326484159005,0.0401145747638818
dpcera3m086sbea,600.0,0.0025398213958006495,0.005035665170537738,-0.0253894637664395,-3.689895606284743e-05,0.002535981395902,0.005388934642924925,0.0238811050027827
cmrmtsplx,600.0,0.0021546301284971654,0.009619062946271987,-0.0320788164389274,-0.00330594594651715,0.00220572625247415,0.008156850282653649,0.0354353014508852
retailx,600.0,0.004770830261764752,0.012018533261949772,-0.0667186776790842,-0.0008913081729637499,0.00491868011773805,0.01106422082205235,0.0647096500591839
indpro,600.0,0.0017342339073415842,0.0073482782009561725,-0.0442963947744923,-0.001789627245789275,0.002167830911367,0.00594286210209525,0.0237548545572594
ipfpnss,600.0,0.0016626311693870449,0.007175471925048176,-0.0324975159994775,-0.00256535537760035,0.0022045251152542,0.00596267633039835,0.0285639698966351
ipfinal,600.0,0.001691857753420235,0.007828490512339676,-0.0333447291439141,-0.002844170785426725,0.001905657058407,0.006780201212130725,0.0295505929691568
ipcongd,600.0,0.0012640391875108118,0.008416156843208672,-0.0323460783787181,-0.0036142209660383253,0.001283546456142,0.006427322859097575,0.0421821079259956
ipdcongd,600.0,0.001875975799517788,0.020381147989040914,-0.1122413811219598,-0.007633008471700925,0.00213800581938445,0.01278277296522825,0.1118594808788584
ipncongd,600.0,0.001042803842907657,0.007350039394351051,-0.0246936701551101,-0.0038809549415891754,0.00115951818020705,0.005749123182377774,0.0246995656156281
ipbuseq,600.0,0.003097401763854341,0.012065259671265045,-0.0826329018579503,-0.0032935797236605248,0.0037466769896290003,0.01040067073097955,0.0527967245275267
ipmat,600.0,0.001839780637342168,0.009058071985057044,-0.0669218336321497,-0.002373875408832,0.0025789811222449,0.0067189561545755,0.0306621889220402
ipdmat,600.0,0.002614427063189528,0.01338213540146647,-0.0607654138633213,-0.00340243352832645,0.003835372812023,0.010292609008220675,0.0534964359449556
ipnmat,600.0,0.001118036103399731,0.010502917770767277,-0.0812297040451826,-0.00368856751558125,0.0015942618448812,0.006506248550183875,0.044833526757122
ipmansics,600.0,0.0018125398448649284,0.008196781990002825,-0.0456016385044097,-0.002348331416473925,0.0021033879255702497,0.0066861996164662,0.0272355118171678
ipb51222s,600.0,0.0016990895922186656,0.033995848648886474,-0.1233138907757629,-0.01605964821018555,0.0021039789250098502,0.020262967009502076,0.122404090753994
ipfuels,600.0,0.001393217512410792,0.019689236714073206,-0.0992124350144747,-0.010126873339439,0.00164709485867125,0.012329932626108351,0.1491503190330458
cumfns,600.0,-0.026387166666666673,0.6292077531942626,-3.7609000000000066,-0.34827500000000455,0.026000000000003298,0.334624999999999,1.8214000000000112
hwi,600.0,4.0,172.4539569821406,-727.0,-93.25,4.0,94.25,881.0
hwiuratio,600.0,-0.0006794250750000037,0.032765113879770005,-0.1713466369999998,-0.017823926749999924,0.0018453934999998999,0.019258180999999926,0.1082012909999999
clf16ov,600.0,0.0012226535495369647,0.0025345606393953617,-0.0117000866947059,-0.0002052009752948,0.00116072234909745,0.002542298636045225,0.0147996639871621
ce16ov,600.0,0.0012046808910549526,0.0027620459855399056,-0.0102948842623558,-0.00042563401831905,0.0013009228798618998,0.0028224668637796997,0.0150215675309581
unrate,600.0,0.001666666666666669,0.17601759157290905,-0.6999999999999993,-0.0999999999999996,0.0,0.0999999999999996,0.8999999999999995
uempmean,600.0,0.027,0.5778935324880231,-2.3000000000000007,-0.3000000000000007,0.0,0.3000000000000007,2.5
uemplt5,600.0,0.0007781891155928762,0.05412499522629812,-0.2006706954621506,-0.031934169168409354,0.00230519557028855,0.03398877264009222,0.2737466757802167
uemp5to14,600.0,0.001703095686409447,0.05355118019620061,-0.1508837706819106,-0.0328202352253235,0.00019798060048835,0.0341857371713392,0.2071162154071713
uemp15ov,600.0,0.0030640440294024433,0.04944788822923179,-0.1827731260046086,-0.0269965423660214,0.00034638118508605,0.0309288905184597,0.2352400128603564
uemp15t26,600.0,0.002308911571273083,0.0722646817047494,-0.363051874425925,-0.04518076371101835,0.00254093869267355,0.048715910419556675,0.2881457868120494
uemp27ov,600.0,0.0037184818188149603,0.06922536092209934,-0.2107210313156526,-0.036078095307877575,-0.00103796117325715,0.0415139507869444,0.281037529733112
claimsx,600.0,0.00032992567442182043,0.048159616189350204,-0.2241146272037966,-0.0283826883103599,-0.00269790748609195,0.0250876513310345,0.1998215987556353
payems,600.0,0.001339708420779129,0.0020999964097485574,-0.0077477009883324,0.000340492138611125,0.0015490188647415,0.00252724586432545,0.0122948527179467
usgood,600.0,-0.00017502825484796319,0.004529936054984583,-0.0235142549162574,-0.00199525291070565,0.0005514280401763001,0.002531229492247225,0.0152497259963411
ces1021000001,600.0,-4.2238285384757626e-05,0.019009648247257493,-0.19039350494754,-0.004301735584861975,0.0007071657399436999,0.0056508419082148004,0.2033957090538027
uscons,600.0,0.0012006383887580045,0.008273596082003813,-0.0408842784728147,-0.0026282213808007998,0.00216268105108325,0.005430010285555025,0.0563102740710697
manemp,600.0,-0.0006275844448885048,0.004410338875067579,-0.0297741770043558,-0.0019450239281866,-9.527779425950199e-05,0.001806896550621475,0.0166024842850269
dmanemp,600.0,-0.0006047104232302328,0.005846492471748253,-0.046676419595359,-0.002332197079885225,0.0,0.0024150497450169998,0.0286575057449063
ndmanemp,600.0,-0.0006646436798619451,0.0030937415915408256,-0.0166274614604908,-0.002088859826944325,-0.00028929399036485,0.001117880709315925,0.0114269997570559
srvprd,600.0,0.001783456945206665,0.0016917046565338859,-0.0060471922549041,0.00081736132416215,0.0018245527502144501,0.002860892011485575,0.0137584321160506
ustpu,600.0,0.0012715818383701222,0.0023148571064688424,-0.0074889367571238,5.750025766015909e-05,0.0014530301129952999,0.0026753026659043,0.0084197388598319
uswtrade,600.0,0.0010539288540725223,0.002435054346842033,-0.0080527845456792,-0.00041293006484450004,0.0012631600735719,0.0026803159793713,0.0079743135645742
ustrade,600.0,0.0014625321510407085,0.0027171271363701345,-0.008032656000994,-5.019559550678565e-06,0.00140549222783895,0.00309175610103455,0.0140833489828082
usfire,600.0,0.0017096918071201799,0.0020708744983883517,-0.007216591425708,0.000389024000909825,0.00176452773920835,0.0031981278299392747,0.0068819752823401
usgovt,600.0,0.0011471923146146306,0.002605790467677767,-0.0123710955866673,3.417401408523091e-05,0.0010335653717259,0.002270643898225125,0.0187430045148513
ces0600000007,600.0,40.2375,0.6284387868743304,37.2,39.9,40.2,40.7,41.6
awotman,600.0,0.0008333333333333343,0.1377713339425734,-0.8999999999999999,-0.0999999999999996,0.0,0.0999999999999996,0.7999999999999998
awhman,600.0,40.73233333333334,0.7164333069875781,37.3,40.3,40.7,41.3,42.2
houst,600.0,7.222810180450957,0.33680817771939103,6.169610732491456,7.042941479976191,7.302495515566868,7.4454170453191555,7.821643126239982
houstne,600.0,5.03058044350557,0.40549847102651165,3.58351893845611,4.818257263046882,5.030437921392435,5.308267697401205,5.978885764901122
houstmw,600.0,5.555195767082399,0.4372768654204103,4.07753744390572,5.357746006961436,5.662960480135946,5.858646421729061,6.380122536899765
housts,600.0,6.425282927495724,0.3186369762348555,5.438079308923196,6.234410725718371,6.455984109456143,6.654474477729326,7.079184394609668
houstw,600.0,5.782036076049954,0.40069619387966304,4.3694478524670215,5.567388479651496,5.855071922202427,6.0736199083474744,6.4692503167957724
permit,600.0,7.183881217201882,0.3288719790339378,6.240275845170769,6.992325467323191,7.24172432128964,7.424313601293701,7.791109510610028
permitne,600.0,5.0510201162535475,0.3910586378465326,4.060443010546419,4.804021044733257,5.075173815233827,5.308267697401205,6.054439346269371
permitmw,600.0,5.508896580089812,0.4068331865630847,4.343805421853684,5.25227342804663,5.6240175061873385,5.817111159963204,6.2285110035911835
permits,600.0,6.337322960513794,0.33359324396676926,5.3706380281276624,6.124683390894205,6.360438173122686,6.590301048196686,7.00669522683704
permitw,600.0,5.801870649455993,0.39827893787233615,4.574710978503383,5.5909869805108565,5.872117789475416,6.088473487695514,6.63200177739563
amdmnox,600.0,0.0036869088640861195,0.0385891134772023,-0.2101986811879843,-0.017430847723184952,0.00484038936022905,0.027365384857925577,0.210714184321997
amdmuox,600.0,0.004228510214855495,0.010126121188603652,-0.0258853969674053,-0.0024304152039870503,0.00351140984596115,0.009762921382776976,0.0530020602526359
businvx,600.0,0.004383513413613609,0.006047506325946801,-0.0204008331807212,0.001341491978139125,0.00447953433442635,0.0073336598865888745,0.0680775708231689
isratiox,600.0,-0.0003016556299999999,0.01791610574841971,-0.0619867549999999,-0.01,0.0,0.01,0.113642384
m1sl,600.0,4.435788268912397e-06,0.009186887710189356,-0.0808698656450417,-0.00355169329836205,-2.1574111848110533e-06,0.0035892294707819,0.0449646620201455
m2sl,600.0,3.7524506164842785e-06,0.003494888649090848,-0.0234759287315657,-0.0013355580133058,0.00011511342336315,0.00169958561392455,0.0159675558175207
m2real,600.0,0.0022026814415211536,0.004911661284229501,-0.0151739900660672,-0.000954144278106175,0.00215579052912315,0.00477345346841355,0.0300855423245565
ambsl,600.0,1.2955558817517532e-05,0.017909550235162768,-0.1397987212730118,-0.00353455948631245,-3.808853007214452e-05,0.00350464062128235,0.1324618901314274
totresns,600.0,4.540475088295172e-05,0.06787353484255193,-0.6270638617969491,-0.0207932002369022,0.0034589265975113,0.02329528795441525,0.8136557542426175
nonborres,600.0,3.687095557745226e-05,1.162549653886829,-18.13361735348081,-0.02461251745450475,0.0039037619433557,0.0251239904390001,21.26800412684716
busloans,600.0,-2.484799719413494e-06,0.006347257992676922,-0.0426313857359259,-0.00342767492665705,6.363597634839735e-05,0.0035344536317724502,0.0243864623218721
realln,600.0,-3.424872464297838e-06,0.0051146334986885015,-0.0421366353480117,-0.00172438931943825,5.906076355532974e-05,0.001806077027921275,0.0372910403104622
nonrevsl,600.0,-3.734464537228302e-07,0.00829951785043476,-0.0852801985180988,-0.00231279570643675,-2.493990957663783e-05,0.0019954986552799,0.0851775712462652
conspi,600.0,7.911146666662108e-06,0.001081989822392135,-0.009148209,-0.000411370249999925,6.876399999999894e-05,0.000495107249999925,0.008784338
