date,stock_observations
1967-01-01,430
1967-02-01,430
1967-03-01,431
1967-04-01,436
1967-05-01,435
1967-06-01,437
1967-07-01,553
1967-08-01,762
1967-09-01,767
1967-10-01,774
1967-11-01,776
1967-12-01,778
1968-01-01,780
1968-02-01,783
1968-03-01,778
1968-04-01,782
1968-05-01,791
1968-06-01,799
1968-07-01,902
1968-08-01,903
1968-09-01,907
1968-10-01,917
1968-11-01,922
1968-12-01,928
1969-01-01,934
1969-02-01,940
1969-03-01,946
1969-04-01,949
1969-05-01,960
1969-06-01,967
1969-07-01,997
1969-08-01,1004
1969-09-01,1010
1969-10-01,1016
1969-11-01,1019
1969-12-01,1025
1970-01-01,1030
1970-02-01,1032
1970-03-01,1039
1970-04-01,1044
1970-05-01,1047
1970-06-01,1051
1970-07-01,1062
1970-08-01,1060
1970-09-01,1045
1970-10-01,1052
1970-11-01,1083
1970-12-01,1089
1971-01-01,1100
1971-02-01,1101
1971-03-01,1103
1971-04-01,1106
1971-05-01,1097
1971-06-01,1107
1971-07-01,1144
1971-08-01,1146
1971-09-01,1146
1971-10-01,1168
1971-11-01,1174
1971-12-01,1178
1972-01-01,1182
1972-02-01,1187
1972-03-01,1187
1972-04-01,1190
1972-05-01,1197
1972-06-01,1204
1972-07-01,1242
1972-08-01,1237
1972-09-01,1246
1972-10-01,1261
1972-11-01,1268
1972-12-01,1232
1973-01-01,1237
1973-02-01,1289
1973-03-01,1293
1973-04-01,1301
1973-05-01,1304
1973-06-01,1306
1973-07-01,1326
1973-08-01,1336
1973-09-01,1339
1973-10-01,1347
1973-11-01,1351
1973-12-01,1359
1974-01-01,1367
1974-02-01,1370
1974-03-01,1381
1974-04-01,1394
1974-05-01,1402
1974-06-01,1404
1974-07-01,1407
1974-08-01,1414
1974-09-01,1413
1974-10-01,1427
1974-11-01,1424
1974-12-01,1410
1975-01-01,1421
1975-02-01,1426
1975-03-01,1431
1975-04-01,1448
1975-05-01,1461
1975-06-01,1468
1975-07-01,1474
1975-08-01,1426
1975-09-01,1428
1975-10-01,1478
1975-11-01,1482
1975-12-01,1482
1976-01-01,1446
1976-02-01,1461
1976-03-01,1446
1976-04-01,1373
1976-05-01,1347
1976-06-01,1393
1976-07-01,1429
1976-08-01,1335
1976-09-01,1263
1976-10-01,1230
1976-11-01,1290
1976-12-01,1312
1977-01-01,1304
1977-02-01,1301
1977-03-01,1308
1977-04-01,1323
1977-05-01,1309
1977-06-01,1308
1977-07-01,1325
1977-08-01,1334
1977-09-01,1321
1977-10-01,1308
1977-11-01,1319
1977-12-01,1316
1978-01-01,1415
1978-02-01,1407
1978-03-01,1359
1978-04-01,1364
1978-05-01,1411
1978-06-01,1404
1978-07-01,1392
1978-08-01,1369
1978-09-01,1377
1978-10-01,1386
1978-11-01,1375
1978-12-01,1375
1979-01-01,1373
1979-02-01,1365
1979-03-01,1363
1979-04-01,1312
1979-05-01,1320
1979-06-01,1372
1979-07-01,1343
1979-08-01,1329
1979-09-01,1352
1979-10-01,1379
1979-11-01,1376
1979-12-01,1334
1980-01-01,1334
1980-02-01,1368
1980-03-01,1366
1980-04-01,1364
1980-05-01,1361
1980-06-01,1362
1980-07-01,1359
1980-08-01,1351
1980-09-01,1347
1980-10-01,1349
1980-11-01,1347
1980-12-01,1344
1981-01-01,1344
1981-02-01,1352
1981-03-01,1353
1981-04-01,1361
1981-05-01,1357
1981-06-01,1355
1981-07-01,1342
1981-08-01,1336
1981-09-01,1454
1981-10-01,1425
1981-11-01,1433
1981-12-01,1462
1982-01-01,1451
1982-02-01,1368
1982-03-01,1373
1982-04-01,1423
1982-05-01,1414
1982-06-01,1435
1982-07-01,1423
1982-08-01,1422
1982-09-01,1417
1982-10-01,1417
1982-11-01,1423
1982-12-01,1419
1983-01-01,1980
1983-02-01,2120
1983-03-01,2145
1983-04-01,2145
1983-05-01,2138
1983-06-01,2138
1983-07-01,2155
1983-08-01,2159
1983-09-01,2154
1983-10-01,2156
1983-11-01,2167
1983-12-01,2177
1984-01-01,2164
1984-02-01,2158
1984-03-01,2161
1984-04-01,2155
1984-05-01,2154
1984-06-01,2149
1984-07-01,2132
1984-08-01,2118
1984-09-01,2067
1984-10-01,2061
1984-11-01,2079
1984-12-01,2075
1985-01-01,2076
1985-02-01,2075
1985-03-01,2088
1985-04-01,2091
1985-05-01,2079
1985-06-01,2072
1985-07-01,2079
1985-08-01,2019
1985-09-01,2018
1985-10-01,2064
1985-11-01,2067
1985-12-01,2085
1986-01-01,2102
1986-02-01,2113
1986-03-01,2107
1986-04-01,2119
1986-05-01,2134
1986-06-01,2136
1986-07-01,2141
1986-08-01,2161
1986-09-01,2159
1986-10-01,2153
1986-11-01,2148
1986-12-01,2125
1987-01-01,2131
1987-02-01,2130
1987-03-01,2125
1987-04-01,2118
1987-05-01,2112
1987-06-01,2107
1987-07-01,2106
1987-08-01,2108
1987-09-01,2105
1987-10-01,2098
1987-11-01,2086
1987-12-01,2115
1988-01-01,2135
1988-02-01,2133
1988-03-01,2126
1988-04-01,2125
1988-05-01,2124
1988-06-01,2121
1988-07-01,2138
1988-08-01,2149
1988-09-01,2174
1988-10-01,2184
1988-11-01,2196
1988-12-01,2208
1989-01-01,2236
1989-02-01,2239
1989-03-01,2241
1989-04-01,2245
1989-05-01,2240
1989-06-01,2241
1989-07-01,2225
1989-08-01,2225
1989-09-01,2225
1989-10-01,2220
1989-11-01,2212
1989-12-01,2209
1990-01-01,2206
1990-02-01,2204
1990-03-01,2198
1990-04-01,2203
1990-05-01,2197
1990-06-01,2207
1990-07-01,2205
1990-08-01,2204
1990-09-01,2209
1990-10-01,2209
1990-11-01,2224
1990-12-01,2232
1991-01-01,2245
1991-02-01,2244
1991-03-01,2257
1991-04-01,2263
1991-05-01,2284
1991-06-01,2299
1991-07-01,2327
1991-08-01,2339
1991-09-01,2353
1991-10-01,2367
1991-11-01,2382
1991-12-01,2397
1992-01-01,2421
1992-02-01,2430
1992-03-01,2441
1992-04-01,2451
1992-05-01,2454
1992-06-01,2474
1992-07-01,2486
1992-08-01,2507
1992-09-01,2526
1992-10-01,2548
1992-11-01,2561
1992-12-01,2555
1993-01-01,2555
1993-02-01,2543
1993-03-01,2541
1993-04-01,2545
1993-05-01,2549
1993-06-01,2558
1993-07-01,2566
1993-08-01,2558
1993-09-01,2552
1993-10-01,2554
1993-11-01,2574
1993-12-01,2576
1994-01-01,2581
1994-02-01,2578
1994-03-01,2580
1994-04-01,2578
1994-05-01,2587
1994-06-01,2596
1994-07-01,2615
1994-08-01,2627
1994-09-01,2619
1994-10-01,2617
1994-11-01,2619
1994-12-01,2609
1995-01-01,2610
1995-02-01,2604
1995-03-01,2599
1995-04-01,2602
1995-05-01,2617
1995-06-01,2622
1995-07-01,2623
1995-08-01,2627
1995-09-01,2629
1995-10-01,2625
1995-11-01,2610
1995-12-01,2604
1996-01-01,2596
1996-02-01,2589
1996-03-01,2582
1996-04-01,2588
1996-05-01,2592
