calendar_month,months,mean_return,volatility,median_return,positive_fraction,monthly_sharpe
1,50,0.06272102188583642,0.06505666509852832,0.04879398362122295,0.96,0.9640983255266071
2,50,0.012245942607140639,0.02069235547746405,0.01376883212768443,0.84,0.5918099860829107
3,50,0.01841257307640064,0.014978064058254857,0.02104300198019879,0.94,1.2293025991067867
4,50,0.014831139933064617,0.016213515175905135,0.012795894718983949,0.84,0.9147393253194802
5,50,0.012072854554614279,0.01670164351905533,0.011785185008459046,0.76,0.7228542832230884
6,50,0.014297343180877504,0.01696268677246199,0.01325428604072251,0.86,0.8428701993182159
7,50,0.015834783121182007,0.016134915677171076,0.015001678274422217,0.82,0.9813985668103788
8,50,0.01373275830774956,0.015877568374951086,0.015140106947968981,0.8,0.8649157089705726
9,50,0.012418828157217818,0.0166094921826859,0.01107743786893596,0.82,0.7476946327211302
10,50,0.011300502939838544,0.027705204781375017,0.014481731035725937,0.8,0.407883754298592
11,50,0.012841474400594697,0.021959285716627128,0.012788460711702157,0.8,0.5847856149014624
12,50,0.016978088705117647,0.02345187875156916,0.012240513178768272,0.82,0.7239543102269215
