characteristic,mean_absolute_gradient,normalized_importance
st_rev,0.015252568041527022,0.08994270855404571
suv,0.007870480341817148,0.04641135300213581
r12_2,0.0055563327520630435,0.032765080344992974
r2_1,0.004969736648301284,0.029305987931444195
resid_var,0.00485982025715626,0.028657823117023893
lme,0.0046844472290642775,0.027623667746533347
lturnover,0.004205334884168373,0.024798395183625078
beta,0.004204614441274769,0.024794146811479956
spread,0.004115442643592962,0.02426831057273651
variance,0.0039970542704438165,0.02357018741646864
cf2p,0.0039778561499859725,0.02345697822124171
at,0.003910563407478233,0.023060160353542487
roa,0.003825515315340211,0.022558641150781274
lt_rev,0.003594912179680541,0.021198799938087345
e2p,0.003467402076247251,0.020446886946152355
rna,0.0034448001335043873,0.020313605786983494
rel2high,0.003416013719169423,0.020143855482130144
s2p,0.0033733665294200183,0.019892369716071844
a2me,0.0033698025341901104,0.019871353229970693
r12_7,0.003351112467522422,0.019761139971811753
idiovol,0.0033373193400562744,0.019679803423083772
ol,0.003270438168028163,0.019285412541030368
q,0.0032584540240590773,0.019214743368118205
ni,0.003156890912970735,0.01861583692327625
r36_13,0.0031530699285647525,0.018593305000397353
fc2y,0.0031406392841537793,0.018520002863711183
dpi2a,0.0031135500347076192,0.018360260552695084
cto,0.003112321963351634,0.018353018751592856
beme,0.003104037311330645,0.018304165073958586
roe,0.0030831192368931237,0.018180813500143386
d2p,0.0030790574412968836,0.01815686154028167
ato,0.0030415591142109286,0.017935738048475324
prof,0.003001105780208276,0.01769718920736648
sga2s,0.0029761040409633684,0.017549756713367663
pcm,0.002791924224193725,0.016463668683066958
lev,0.0027502570916422544,0.016217962206022816
op,0.002722029534431381,0.016051507419884647
ac,0.0026851299820157388,0.015833914836153245
investment,0.0026792384675652205,0.015799173226365162
pm,0.0025993764299878644,0.01532823561436463
mktbeta,0.0025330881686451744,0.014937341061115151
noa,0.0025157351645413374,0.014835012313169287
oa,0.0024672359737655403,0.014549017943619314
d2a,0.002325218556399147,0.013711556924267915
cf,0.002151015228492518,0.012684299146535547
c,0.0020858372215264375,0.012299951640677981
