member,split,months,mean_monthly,volatility_monthly,monthly_sharpe,annualized_sharpe,positive_month_fraction
1,train,240,0.0016976449590442489,0.06398528093594995,0.026531804412074277,0.0919088665163855,0.4791666666666667
2,train,240,0.02189510923394334,0.02914093176161588,0.7513524074334281,2.602761088127778,0.9125
3,train,240,0.005329081699020035,0.0581257088027167,0.09168200799249372,0.31759579196587,0.5208333333333334
4,train,240,0.002212197818848975,0.06466729182540173,0.03420891391001485,0.11850315392779084,0.48333333333333334
5,train,240,0.01854282066509298,0.025912902029903095,0.7155825558902992,2.478850687623988,0.85
6,train,240,0.01635667688900107,0.02004642555872111,0.8159398213456149,2.826498452978555,0.8708333333333333
7,train,240,0.021374874831841358,0.02921891398253223,0.7315424127200544,2.53413725344531,0.9125
8,train,240,0.018627191217481912,0.035605846674305684,0.5231497901979084,1.8122440331835519,0.8458333333333333
9,train,240,0.024854998731541646,0.03662068808410868,0.678714683745315,2.351136632179856,0.9125
1,validation,60,0.0012387872169703801,0.06110571166473708,0.020272854749931016,0.07022722888268912,0.5666666666666667
2,validation,60,0.015597892132024659,0.014179487562610628,1.1000321459538616,3.8106231335022223,0.9
3,validation,60,0.0002509116903467137,0.056240605692546304,0.004461397370405056,0.015454733836591484,0.5666666666666667
4,validation,60,0.001410207482184699,0.06055757761349722,0.023287052384842893,0.08066871577813176,0.5666666666666667
5,validation,60,0.012634145561637663,0.016140779357902257,0.7827469344255793,2.7115149197877755,0.9
6,validation,60,0.012024677958043182,0.010815541760127684,1.1117961748687495,3.8513749250668123,0.8833333333333333
7,validation,60,0.016205201125843602,0.01652322062995747,0.9807531769237965,3.397428664233207,0.9
8,validation,60,0.014473416514049894,0.021279396413242495,0.6801610455944542,2.3561469765975325,0.8333333333333334
9,validation,60,0.01707512881624224,0.021030440343092188,0.811924455107801,2.812588816308774,0.85
1,test,300,0.009364967573986298,0.055389956027765044,0.16907338885215883,0.585687399399577,0.6
2,test,300,0.013509712211736635,0.023471582548413892,0.5755773895463032,1.9938585647641216,0.8166666666666667
3,test,300,0.010318669663059096,0.04974493862981656,0.20743154876211267,0.7185639630973604,0.6166666666666667
4,test,300,0.00909443721336865,0.05492164093818839,0.16558932067605175,0.5736182332034745,0.6
5,test,300,0.011602067831570174,0.02094724370793793,0.5538708573469064,1.9186649315131514,0.7766666666666666
6,test,300,0.010013018959060456,0.017085020927331954,0.5860700435573958,2.030206184471029,0.8066666666666666
7,test,300,0.014128106655013338,0.025498889958104724,0.554067517379233,1.9193461818487667,0.8133333333333334
8,test,300,0.014523691684767328,0.03042076814725474,0.47742685570804655,1.6538551419683836,0.7633333333333333
9,test,300,0.014470254531723625,0.02639849755892117,0.5481468973537668,1.8988365524559325,0.8066666666666666
