model,split,replication_sharpe,paper_sharpe,difference
FF-3,train,0.266610694080281,0.27,-0.0033893059197190323
FF-3,validation,-0.09412560582341699,-0.09,-0.004125605823416992
FF-3,test,0.19558466147042847,0.19,0.005584661470428465
FF-5,train,0.47365529938725653,0.48,-0.006344700612743448
FF-5,validation,0.40492151483658895,0.4,0.004921514836588925
FF-5,test,0.2231871670169749,0.22,0.0031871670169749122
LS,train,2.024810747643032,1.8,0.22481074764303188
LS,validation,0.7631482671364505,0.58,0.1831482671364505
LS,test,0.4057141467775037,0.42,-0.014285853222496259
EN,train,1.1230500129220278,1.37,-0.24694998707797233
EN,validation,1.0291534629194892,1.15,-0.12084653708051074
EN,test,0.4108220205487376,0.5,-0.08917797945126238
FFN,train,0.658348151957737,0.45,0.20834815195773698
FFN,validation,0.8448202754514286,0.42,0.4248202754514286
FFN,test,0.568570591945118,0.44,0.12857059194511805
GAN,train,2.218878173552083,2.68,-0.4611218264479171
GAN,validation,1.175489101283841,1.43,-0.25451089871615884
GAN,test,0.6108669016000494,0.75,-0.13913309839995058
