split,source,rank,model,monthly_sharpe
train,replication,1,GAN,2.218878
train,replication,2,LS,2.024811
train,replication,3,EN,1.12305
train,replication,4,FFN,0.658348
train,paper,1,GAN,2.68
train,paper,2,LS,1.8
train,paper,3,EN,1.37
train,paper,4,FFN,0.45
validation,replication,1,GAN,1.175489
validation,replication,2,EN,1.029153
validation,replication,3,FFN,0.84482
validation,replication,4,LS,0.763148
validation,paper,1,GAN,1.43
validation,paper,2,EN,1.15
validation,paper,3,LS,0.58
validation,paper,4,FFN,0.42
test,replication,1,GAN,0.610867
test,replication,2,FFN,0.568571
test,replication,3,EN,0.410822
test,replication,4,LS,0.405714
test,paper,1,GAN,0.75
test,paper,2,EN,0.5
test,paper,3,FFN,0.44
test,paper,4,LS,0.42
