model,split,replication_sharpe,paper_sharpe,difference,absolute_error,percent_of_paper
LS,train,2.024811,1.8,0.2248110000000001,0.2248110000000001,112.48949999999999
EN,train,1.12305,1.37,-0.24695,0.24695,81.97445255474453
FFN,train,0.658348,0.45,0.20834800000000003,0.20834800000000003,146.29955555555557
GAN,train,2.218878,2.68,-0.46112200000000003,0.46112200000000003,82.7939552238806
LS,validation,0.763148,0.58,0.1831480000000001,0.1831480000000001,131.57724137931038
EN,validation,1.029153,1.15,-0.12084699999999993,0.12084699999999993,89.49156521739131
FFN,validation,0.84482,0.42,0.42482000000000003,0.42482000000000003,201.14761904761903
GAN,validation,1.175489,1.43,-0.25451099999999993,0.25451099999999993,82.20202797202798
LS,test,0.405714,0.42,-0.014285999999999965,0.014285999999999965,96.59857142857143
EN,test,0.410822,0.5,-0.08917799999999998,0.08917799999999998,82.1644
FFN,test,0.568571,0.44,0.12857100000000005,0.12857100000000005,129.22068181818182
GAN,test,0.610867,0.75,-0.13913299999999995,0.13913299999999995,81.44893333333334
