model,split,months,mean_monthly,volatility_monthly,monthly_sharpe,annualized_sharpe,minimum_month,maximum_month,positive_month_fraction
LS,train,240,0.0064869734539096,0.0032037430962181,2.024810747643032,7.014150181258511,-0.0017399081138772,0.0140108552018938,0.975
EN,train,240,0.0116307358069943,0.0103563827729565,1.1230500129220278,3.890359363643672,-0.0245418705463144,0.0540911232722921,0.8958333333333334
FFN,train,240,0.0224999861728495,0.0341764248991071,0.658348151957737,2.2805848965197524,-0.0886440311268285,0.3145438470954377,0.875
GAN,train,240,0.0170872587824609,0.0077008548671722,2.218878173552083,7.686419464795682,-0.0009540567989461,0.0433049499988555,0.9916666666666668
LS,validation,60,0.0038530922696487,0.0050489432205705,0.7631482671364505,2.6436231447769565,-0.0120927164928825,0.012706629735169,0.8166666666666667
EN,validation,60,0.0095371702614809,0.0092670049755514,1.0291534629194892,3.5650921731240155,-0.0089593279326834,0.0387885980082099,0.8666666666666667
FFN,validation,60,0.0162094949002809,0.0191869151005158,0.8448202754514286,2.926543280692416,-0.0546132603167089,0.0824893499840101,0.8833333333333333
GAN,validation,60,0.0090476084743083,0.0076968884393966,1.175489101283841,4.072013694334182,-0.0057557108812034,0.031569555401802,0.85
LS,test,300,0.0034703687637583,0.0085537287553877,0.4057141467775037,1.4054350311361865,-0.0533539895819478,0.0398666493459713,0.7333333333333333
EN,test,300,0.0060008035282881,0.0146068205406148,0.4108220205487376,1.4231292249170375,-0.088451311537743,0.0644576695309967,0.7566666666666667
FFN,test,300,0.0150393305599365,0.0264511228209781,0.568570591945118,1.9695863058769123,-0.075808854793357,0.2708220726360255,0.8
GAN,test,300,0.0069968224914676,0.0114539230610478,0.6108669016000494,2.116105020466927,-0.0518447607755661,0.0671999454498291,0.8233333333333334
