model,split,monthly_sharpe,max_loss_sigma,max_negative_streak,paper_monthly_sharpe,paper_max_loss_sigma,paper_max_negative_streak
EN,test,0.41082202054873623,-6.055480129423165,5,0.5,-6.18,5
EN,train,1.1230500129220258,-2.3697338235122207,2,1.37,-2.22,1
EN,validation,1.0291534629194867,-0.966798653536955,3,1.15,-1.81,3
FF-3,test,0.19558466147042847,-4.338513059635924,10,0.19,-4.31,10
FF-3,train,0.266610694080281,-2.420112843772749,7,0.27,-2.45,7
FF-3,validation,-0.09412560582341699,-2.7690443616170155,10,-0.09,-2.85,10
FF-5,test,0.2231871670169749,-5.077870775432465,7,0.22,-4.9,7
FF-5,train,0.47365529938725653,-2.597351707625211,4,0.48,-2.62,4
FF-5,validation,0.40492151483658895,-2.051526736477466,3,0.4,-2.33,3
FFN,test,0.5685705919451174,-2.8659976102501696,5,0.44,-3.37,5
FFN,train,0.6583481519577362,-2.5937186639186613,2,0.45,-3.3,6
FFN,validation,0.8448202754514279,-2.8463804645302564,3,0.42,-4.61,3
GAN,test,0.6108669037705023,-4.5263757941336165,4,0.75,-5.76,5
GAN,train,2.2188781787781564,-0.12388972619581373,1,2.68,0.38,0
GAN,validation,1.1754891095883981,-0.7477971230919693,1,1.43,-0.28,1
LS,test,0.4057141467775029,-6.237512447228584,5,0.42,-4.99,4
LS,train,2.0248107476430213,-0.5430860283182769,1,1.8,-1.96,1
LS,validation,0.7631482671364472,-2.3950985314340922,2,0.58,-1.87,3
