characteristic,mean_absolute_gradient,normalized_importance
st_rev,0.06530684609210637,0.08761892802573885
suv,0.03336587136338855,0.0447653202756359
r12_2,0.03303204417833795,0.04431744104320856
d2a,0.03019930240734105,0.040516893134365635
beta,0.0195556579925753,0.026236847936751368
noa,0.01901221685170968,0.025507740147032436
d2p,0.018995774444420424,0.025485680191804843
at,0.018577644468023354,0.024924696121992794
r12_7,0.017936503928549043,0.024064509937172993
lme,0.01774076391916818,0.023801895359682742
cf2p,0.017605059873641176,0.02361982803122743
dpi2a,0.016868817233993055,0.02263204811667103
ac,0.015598667719976244,0.020927952060744395
lturnover,0.015029595353639477,0.02016445613817029
pm,0.014771436249838319,0.019818096984594857
r2_1,0.01460198524151419,0.019590753044553703
ato,0.01456604407042577,0.019542532573482176
cf,0.01448348659583328,0.019431769340266105
op,0.01430108399704871,0.019187048899287025
resid_var,0.014243343066949219,0.019109580782217167
e2p,0.014237992514480845,0.019102402213664597
c,0.01423401273907539,0.019097062748115803
roe,0.01399235222375724,0.018772838925264813
variance,0.0137565920070019,0.018456531237796874
rna,0.013485656507703767,0.0180930306336008
mktbeta,0.013384105585388141,0.01795678484183846
r36_13,0.013355185135543752,0.017917983721205354
q,0.013247281154324268,0.017773214348162498
lt_rev,0.013136052551147505,0.017623984496174187
beme,0.013017473744553575,0.01746489324400013
s2p,0.012429192950251284,0.016675626334644252
oa,0.01240338354061392,0.01664099914100802
idiovol,0.012368961064176325,0.01659481622656748
spread,0.012251613105918916,0.016437376342025786
a2me,0.012097281065268202,0.016230316764492846
lev,0.011904620698237335,0.015971833989065567
roa,0.011777440473483156,0.015801202644484667
sga2s,0.011700795900406858,0.01569837245540366
prof,0.011654082341958737,0.015635699211166455
ol,0.011538000840906901,0.015479958468895182
pcm,0.011529652853472048,0.015468758391813178
ni,0.011305420851303087,0.015167917533086052
rel2high,0.010369086085756322,0.013911684024048854
cto,0.010159887808349984,0.01363101316168133
investment,0.010142238730593795,0.013607334277059355
fc2y,0.010080383702194532,0.013524346480133726
