alpha,l1_ratio,validation_monthly_sharpe,n_nonzero,sparsity_percent
1e-07,1.0,1.0291534629194892,91,1.0869565217391304
1e-07,0.9,1.029109294739589,91,1.0869565217391304
1e-07,0.75,1.0289148312003502,90,2.1739130434782608
1e-08,0.01,1.0288663762901589,92,0.0
1e-08,0.025,1.0288647148496157,92,0.0
1e-08,0.05,1.028861976874868,92,0.0
1e-08,0.075,1.0288592678503599,92,0.0
1e-08,0.1,1.0288565964204663,92,0.0
1e-08,0.15,1.0288513579001874,92,0.0
1e-08,0.25,1.028841285644518,92,0.0
1.7782794100389228e-08,0.01,1.0288370895738028,92,0.0
1.7782794100389228e-08,0.025,1.0288341685627667,92,0.0
1.7782794100389228e-08,0.05,1.0288294308295456,92,0.0
1.7782794100389228e-08,0.075,1.0288248275260716,92,0.0
1.7782794100389228e-08,0.1,1.0288203159204607,92,0.0
1e-08,0.5,1.0288182151863698,92,0.0
1.7782794100389228e-08,0.15,1.028811552552733,92,0.0
1.7782794100389227e-07,0.75,1.028802433276218,90,2.1739130434782608
1e-08,0.75,1.0287977063944025,92,0.0
1.7782794100389228e-08,0.25,1.0287951235080093,92,0.0
1.7782794100389227e-07,0.5,1.0287880114653722,91,1.0869565217391304
1e-08,0.9,1.0287864832811813,92,0.0
3.162277660168379e-08,0.01,1.0287851833090158,92,0.0
3.162277660168379e-08,0.025,1.0287802128033683,92,0.0
1e-08,1.0,1.0287794481663355,92,0.0
3.162277660168379e-08,0.05,1.0287721738603433,92,0.0
3.162277660168379e-08,0.075,1.0287644056212675,92,0.0
1.7782794100389228e-08,0.5,1.028759448805974,92,0.0
3.162277660168379e-08,0.1,1.0287568914639758,92,0.0
3.162277660168379e-08,0.15,1.0287426591990474,92,0.0
1.7782794100389228e-08,0.75,1.0287304836128721,92,0.0
1.7782794100389227e-07,0.9,1.02871858162121,90,2.1739130434782608
3.162277660168379e-08,0.25,1.0287171242111113,92,0.0
1.7782794100389228e-08,0.9,1.0287155767103802,92,0.0
5.6234132519034905e-08,1.0,1.0287147505821663,90,2.1739130434782608
1.7782794100389228e-08,1.0,1.0287064273499007,92,0.0
5.6234132519034905e-08,0.01,1.0286936655970487,92,0.0
5.6234132519034905e-08,0.025,1.0286851767068645,92,0.0
5.6234132519034905e-08,0.05,1.028671698519927,92,0.0
3.162277660168379e-08,0.5,1.028667252486937,92,0.0
1.7782794100389227e-07,1.0,1.028663252674996,90,2.1739130434782608
5.6234132519034905e-08,0.075,1.028659174041824,92,0.0
5.6234132519034905e-08,0.9,1.0286524755587432,91,1.0869565217391304
5.6234132519034905e-08,0.1,1.0286474331106439,92,0.0
3.162277660168379e-08,0.75,1.0286281820282912,92,0.0
5.6234132519034905e-08,0.15,1.028625955349177,92,0.0
3.162277660168379e-08,0.9,1.0286103800358386,92,0.0
3.162277660168379e-08,1.0,1.0286071503186291,92,0.0
5.6234132519034905e-08,0.25,1.0285880681604438,92,0.0
5.6234132519034905e-08,0.75,1.02856412541705,92,0.0
1e-07,0.5,1.0285452150080747,91,1.0869565217391304
1e-07,0.01,1.0285306387560327,92,0.0
5.6234132519034905e-08,0.5,1.0285215483510295,92,0.0
1e-07,0.025,1.0285165439218047,92,0.0
1e-07,0.05,1.0284943807183096,92,0.0
1e-07,0.075,1.0284738283013661,92,0.0
1e-07,0.1,1.0284547581573833,92,0.0
1e-07,0.15,1.0284207837721258,92,0.0
1e-07,0.25,1.0283741840784795,92,0.0
1.7782794100389227e-07,0.25,1.0283141467615016,91,1.0869565217391304
1.7782794100389227e-07,0.01,1.0282332265869343,92,0.0
1.7782794100389227e-07,0.025,1.028208498508508,92,0.0
3.162277660168379e-07,0.25,1.0281787899681765,91,1.0869565217391304
1.7782794100389227e-07,0.05,1.0281712907951357,92,0.0
1.7782794100389227e-07,0.075,1.0281387846074985,92,0.0
1.7782794100389227e-07,0.1,1.028116468998132,92,0.0
1.7782794100389227e-07,0.15,1.0281153785443373,92,0.0
3.162277660168379e-07,0.5,1.028068452754743,90,2.1739130434782608
3.162277660168379e-07,0.15,1.0279116696382424,92,0.0
3.162277660168379e-07,0.1,1.027794624820883,92,0.0
3.162277660168379e-07,0.075,1.0277534860281201,92,0.0
3.162277660168379e-07,0.05,1.0277132040294619,91,1.0869565217391304
3.162277660168379e-07,0.01,1.0276871780175798,92,0.0
3.162277660168379e-07,0.025,1.027660634066349,92,0.0
5.62341325190349e-07,0.15,1.0271383896435846,91,1.0869565217391304
5.62341325190349e-07,0.1,1.0269730519494025,92,0.0
3.162277660168379e-07,0.75,1.0269417903988523,89,3.260869565217391
5.62341325190349e-07,0.25,1.0269255850969479,90,2.1739130434782608
5.62341325190349e-07,0.075,1.026857618389589,92,0.0
5.62341325190349e-07,0.05,1.0267763869251636,92,0.0
5.62341325190349e-07,0.025,1.0267328024057185,92,0.0
5.62341325190349e-07,0.01,1.026728006267243,92,0.0
3.162277660168379e-07,0.9,1.0249968881241027,89,3.260869565217391
1e-06,0.075,1.0249803860829316,92,0.0
1e-06,0.1,1.0249760607752643,92,0.0
1e-06,0.05,1.0249528521622069,92,0.0
1e-06,0.025,1.0248485975046149,92,0.0
1e-06,0.01,1.0248325278799604,92,0.0
1e-06,0.15,1.0245625534602893,90,2.1739130434782608
5.62341325190349e-07,0.5,1.0237886288084352,89,3.260869565217391
3.162277660168379e-07,1.0,1.0236023081031265,89,3.260869565217391
1e-06,0.25,1.0224357435417226,89,3.260869565217391
1.778279410038923e-06,0.01,1.0210960877736766,92,0.0
1.778279410038923e-06,0.025,1.0209651265276942,92,0.0
1.778279410038923e-06,0.05,1.0206919257186104,91,1.0869565217391304
1.778279410038923e-06,0.075,1.0204491990061972,91,1.0869565217391304
1.778279410038923e-06,0.1,1.0202463630773793,89,3.260869565217391
5.62341325190349e-07,0.75,1.018502502578994,85,7.608695652173913
1.778279410038923e-06,0.15,1.0179456108195781,88,4.3478260869565215
5.62341325190349e-07,0.9,1.0147783505793757,82,10.869565217391305
3.162277660168379e-06,0.01,1.0135742157984478,92,0.0
3.162277660168379e-06,0.025,1.0131167802024788,92,0.0
1e-06,0.5,1.0131004115044124,83,9.782608695652174
3.162277660168379e-06,0.05,1.01267655940336,91,1.0869565217391304
5.62341325190349e-07,1.0,1.0123465181218665,78,15.217391304347826
1.778279410038923e-06,0.25,1.010941745605918,82,10.869565217391305
3.162277660168379e-06,0.075,1.0103187450405022,86,6.521739130434782
3.162277660168379e-06,0.1,1.0070504829557803,86,6.521739130434782
3.162277660168379e-06,0.15,1.0029862814663277,82,10.869565217391305
1e-06,0.75,1.000575196973427,75,18.47826086956522
5.623413251903491e-06,0.01,0.9999118248997749,92,0.0
5.623413251903491e-06,0.025,0.9982682406758461,89,3.260869565217391
5.623413251903491e-06,0.05,0.9948554278288139,85,7.608695652173913
1e-06,0.9,0.9928381366111999,71,22.82608695652174
1.778279410038923e-06,0.5,0.9914828272576713,71,22.82608695652174
1e-06,1.0,0.990411057905543,68,26.08695652173913
5.623413251903491e-06,0.075,0.9887337975802682,80,13.043478260869565
3.162277660168379e-06,0.25,0.9880283737331969,76,17.391304347826086
1.778279410038923e-06,0.75,0.9830053116979127,58,36.95652173913044
5.623413251903491e-06,0.1,0.9814704460826482,80,13.043478260869565
1e-05,0.01,0.9779244380074248,92,0.0
1e-05,0.025,0.974768383136585,85,7.608695652173913
5.623413251903491e-06,0.15,0.9725953209050429,73,20.652173913043477
1e-05,0.05,0.9677871887716114,81,11.956521739130435
1.778279410038923e-06,0.9,0.9645728014010859,53,42.391304347826086
1e-05,0.075,0.9589604156696809,77,16.304347826086957
3.162277660168379e-06,0.5,0.9537384723875318,53,42.391304347826086
1.778279410038923e-06,1.0,0.9488628402772905,51,44.56521739130435
1e-05,0.1,0.9483501853416414,71,22.82608695652174
1.778279410038923e-05,0.01,0.946309989106214,88,4.3478260869565215
5.623413251903491e-06,0.25,0.9456895047485527,56,39.130434782608695
1.778279410038923e-05,0.025,0.9391736231513029,84,8.695652173913043
1.778279410038923e-05,0.05,0.9214995294695864,79,14.130434782608695
1e-05,0.15,0.9170704579300585,58,36.95652173913044
3.1622776601683795e-05,0.01,0.9074293314564008,87,5.434782608695652
1.778279410038923e-05,0.075,0.9036471048019382,69,25.0
3.162277660168379e-06,0.75,0.9012886631317659,38,58.69565217391305
3.162277660168379e-06,1.0,0.8992856040103817,29,68.47826086956522
3.162277660168379e-06,0.9,0.8979516258411473,31,66.30434782608695
3.1622776601683795e-05,0.025,0.8892656046042756,80,13.043478260869565
5.623413251903491e-06,0.5,0.8818971350164211,33,64.1304347826087
1.778279410038923e-05,0.1,0.8802857294459694,62,32.608695652173914
5.623413251903491e-05,0.01,0.8766908459983899,85,7.608695652173913
1e-05,0.25,0.8722423011983127,42,54.34782608695652
5.623413251903491e-06,0.75,0.8680628233494859,26,71.73913043478261
3.1622776601683795e-05,0.05,0.8668780471434465,68,26.08695652173913
5.623413251903491e-05,0.025,0.859045780747858,75,18.47826086956522
1.778279410038923e-05,0.15,0.8561231932516437,48,47.82608695652174
3.1622776601683795e-05,0.075,0.8557437515753693,61,33.69565217391305
5.623413251903491e-06,0.9,0.8551813160996924,25,72.82608695652173
3.1622776601683795e-05,0.1,0.8546171405969584,55,40.21739130434783
0.0001,0.01,0.853687945275805,84,8.695652173913043
5.623413251903491e-06,1.0,0.8520135263220188,21,77.17391304347827
5.623413251903491e-05,0.05,0.8470387138626474,67,27.17391304347826
1e-05,0.5,0.8441118581270918,27,70.65217391304348
1e-05,0.9,0.8403568837579147,24,73.91304347826087
5.623413251903491e-05,0.1,0.8396190337422526,50,45.65217391304348
1.778279410038923e-05,0.25,0.8392934098824131,33,64.1304347826087
5.623413251903491e-05,0.075,0.839051684815207,58,36.95652173913044
3.1622776601683795e-05,0.15,0.8389970361023279,40,56.52173913043478
0.0001,0.025,0.8371044502863774,77,16.304347826086957
1e-05,0.75,0.8366147027787502,23,75.0
1e-05,1.0,0.8365594583595932,21,77.17391304347827
5.623413251903491e-05,0.15,0.8307752393452021,40,56.52173913043478
0.0001,0.05,0.8286998000725194,66,28.26086956521739
0.0001,0.075,0.8253988014593501,53,42.391304347826086
1.778279410038923e-05,0.5,0.8219989697780336,25,72.82608695652173
0.0001,0.1,0.8200848974760064,46,50.0
