feature,train_mean_raw,train_std_raw,train_mean_standardized,train_std_standardized,full_standardized_min,full_standardized_max
rpi,0.002826233220602776,0.004251862589626497,4.070817756958907e-17,1.0,-12.537103266072815,8.849504341978122
w875rx1,0.0025842732269300023,0.003959827676597294,1.2027416100105863e-17,0.9999999999999998,-15.875061479119179,9.477761307330887
dpcera3m086sbea,0.0028623366305309743,0.006094153762555216,-7.401486830834377e-17,0.9999999999999999,-4.635885718959081,3.4490052583508777
cmrmtsplx,0.002335265146689203,0.011041480268918186,9.25185853854297e-18,1.0,-3.1167996271743013,2.997789743588343
retailx,0.006513129442888969,0.013621402571520577,8.141635513917814e-17,0.9999999999999999,-5.37623102595067,4.272432321908711
indpro,0.0019457649330381673,0.008715085354957195,2.2204460492503132e-17,1.0,-5.305990454956088,2.5024527857109384
ipfpnss,0.002301087377138448,0.008271824318417765,5.921189464667501e-17,1.0,-4.206883758294352,3.174980694527156
ipfinal,0.002277978548199745,0.00876533928881219,5.736152293896643e-17,1.0,-4.064042077365057,3.1114157161910416
ipcongd,0.0019073307320892235,0.009636270875939486,-2.960594732333751e-17,0.9999999999999999,-3.5546332758591936,4.179498242880164
ipdcongd,0.0020994897350462356,0.02124201247369571,-1.295260195396016e-17,1.0,-5.382770158834809,5.167118288802888
ipncongd,0.001830371403588227,0.007851844439188817,1.4802973661668754e-17,1.0,-3.3780650857416314,2.9125888049817905
ipbuseq,0.003395452453169658,0.01252166246765516,-1.1102230246251566e-17,0.9999999999999999,-6.870362025277452,3.945264632549072
ipmat,0.0015802374754038664,0.010819183169242661,-1.4802973661668754e-17,1.0,-6.3315381610595916,2.6879988065376343
ipdmat,0.0015151517231241718,0.01666533244729013,1.4802973661668754e-17,1.0,-3.7371331045107725,3.119126749270691
ipnmat,0.002401179985397197,0.011022375525019584,1.4802973661668754e-17,1.0,-7.587373868795057,3.849655337491272
ipmansics,0.002112834104481016,0.009838491813793253,3.515706244646329e-17,1.0,-4.849775098861854,2.5535090324988214
ipb51222s,0.0028127076540150125,0.026863883270592658,-1.4802973661668754e-17,1.0,-4.695024809307674,4.451753378145937
ipfuels,0.0014264921908574784,0.021613060071035643,2.960594732333751e-17,0.9999999999999999,-4.656394183635368,6.834933431761372
cumfns,-0.047084166666666684,0.7819332751260207,3.7007434154171884e-18,1.0,-4.749530364639874,2.3895698342873852
hwi,5.516666666666667,107.23105763827111,-1.1102230246251566e-17,1.0,-6.8311987478264795,8.16445675922225
hwiuratio,-0.002534938495833335,0.035370008879375324,-7.401486830834377e-18,0.9999999999999998,-4.772735542133341,3.1307945065403944
clf16ov,0.0018221479452481982,0.00285589450895524,-4.4408920985006264e-17,1.0,-4.734850883865764,4.544116038327134
ce16ov,0.0016787027534258367,0.0031083825362481026,-2.2204460492503132e-17,1.0,-3.8520313623412843,4.292542704102773
